hazard_id,gps_speed_mean,gps_speed_min,accx_5s_mean_mean,accx_5s_min_min,grip_mean,water_layer_thickness_mean,ice_layer_thickness_mean,snow_layer_thickness_mean,black_ice_risk_mean,cluster
18641414.0,2.8684596447264017,0.0,700.0,680.0,0.8160972398955647,0.014546005790712437,0.0,0.0,0.0,1
18641415.0,2.8798201818111258,0.0,700.0,680.0,0.8160962200746303,0.014686847557086578,0.0,0.0,0.0,1
18641416.0,2.8176460632446245,0.0,700.0,680.0,0.8160802721977234,0.01541539047934473,0.0,0.0,0.0,1
18641417.0,2.8474535712555364,0.0,700.0,680.0,0.8160323144459143,0.015752205341236607,0.0,0.0,0.0,1
18641418.0,2.841038342446307,0.0,700.0,680.0,0.8160323144459143,0.015752205341236607,0.0,0.0,0.0,1
18641419.0,2.806323156071151,0.0,700.0,680.0,0.8160293821881457,0.01592449867734457,0.0,0.0,0.0,1
18641420.0,2.731619781198015,0.0,700.0,680.0,0.8150449610618223,0.021287937828126425,0.0,0.0,0.0,1
18641421.0,2.770364774155652,0.0,700.0,680.0,0.8171832355452172,0.015630020943964686,0.0,0.0,0.0,1
18641422.0,2.813221601592037,0.0,700.0,680.0,0.8171119252337685,0.016025717676723287,0.0,0.0,0.0,1
18641783.0,1.921595361507242,0.0,708.0,708.0,0.813810027954055,0.028325334461065128,0.0,0.0,0.0,1
18641784.0,1.770763661198743,0.0,708.0,708.0,0.8136690418894698,0.029892372237177684,0.0,0.0,0.0,1
19073454.0,7.3948871320612675,0.0,604.0,604.0,0.5992362363102995,0.31646056752062485,0.0,0.0,0.0,1
19073455.0,7.3948871320612675,0.0,604.0,604.0,0.5992362363102995,0.31646056752062485,0.0,0.0,0.0,1
19073456.0,7.3948871320612675,0.0,604.0,604.0,0.5992362363102995,0.31646056752062485,0.0,0.0,0.0,1
19073457.0,7.3948871320612675,0.0,604.0,604.0,0.5992362363102995,0.31646056752062485,0.0,0.0,0.0,1
19073458.0,7.3948871320612675,0.0,604.0,604.0,0.5992362363102995,0.31646056752062485,0.0,0.0,0.0,1
19073459.0,7.3948871320612675,0.0,604.0,604.0,0.5992362363102995,0.31646056752062485,0.0,0.0,0.0,1
19073460.0,7.3948871320612675,0.0,604.0,604.0,0.5992362363102995,0.31646056752062485,0.0,0.0,0.0,1
19073461.0,7.3948871320612675,0.0,604.0,604.0,0.5992362363102995,0.31646056752062485,0.0,0.0,0.0,1
19073462.0,7.3948871320612675,0.0,604.0,604.0,0.5992362363102995,0.31646056752062485,0.0,0.0,0.0,1
19073503.0,7.3948871320612675,0.0,604.0,604.0,0.5992362363102995,0.31646056752062485,0.0,0.0,0.0,1
19073504.0,7.3948871320612675,0.0,604.0,604.0,0.5992362363102995,0.31646056752062485,0.0,0.0,0.0,1
19073505.0,7.3948871320612675,0.0,604.0,604.0,0.5992362363102995,0.31646056752062485,0.0,0.0,0.0,1
19073506.0,7.3948871320612675,0.0,604.0,604.0,0.5992362363102995,0.31646056752062485,0.0,0.0,0.0,1
19073507.0,7.3948871320612675,0.0,604.0,604.0,0.5992362363102995,0.31646056752062485,0.0,0.0,0.0,1
19073508.0,7.3948871320612675,0.0,604.0,604.0,0.5992362363102995,0.31646056752062485,0.0,0.0,0.0,1
19073509.0,7.3948871320612675,0.0,700.0,680.0,0.5992362363102995,0.31646056752062485,0.0,0.0,0.0,1
19073510.0,7.3948871320612675,0.0,700.0,680.0,0.5992362363102995,0.31646056752062485,0.0,0.0,0.0,1
19073511.0,7.3948871320612675,0.0,700.0,680.0,0.5992362363102995,0.31646056752062485,0.0,0.0,0.0,1
19073512.0,7.3948871320612675,0.0,700.0,680.0,0.5992362363102995,0.31646056752062485,0.0,0.0,0.0,1
19073513.0,7.3948871320612675,0.0,700.0,680.0,0.5992362363102995,0.31646056752062485,0.0,0.0,0.0,1
19073514.0,7.3948871320612675,0.0,704.0,704.0,0.5992362363102995,0.31646056752062485,0.0,0.0,0.0,1
19073515.0,7.3948871320612675,0.0,704.0,704.0,0.5992362363102995,0.31646056752062485,0.0,0.0,0.0,1
19073516.0,7.3948871320612675,0.0,704.0,704.0,0.5992362363102995,0.31646056752062485,0.0,0.0,0.0,1
19073517.0,7.3948871320612675,0.0,704.0,704.0,0.5992362363102995,0.31646056752062485,0.0,0.0,0.0,1
19073518.0,7.3948871320612675,0.0,704.0,704.0,0.5992362363102995,0.31646056752062485,0.0,0.0,0.0,1
19073519.0,7.3948871320612675,0.0,704.0,704.0,0.5992362363102995,0.31646056752062485,0.0,0.0,0.0,1
19073521.0,7.3948871320612675,0.0,704.0,704.0,0.5992362363102995,0.31646056752062485,0.0,0.0,0.0,1
